날짜,중국,중국 외 아시아,유럽,미주,아프리카,호주,검역단계,지역사회,총 신규 해외유입,해외유입 누계,국내발생,국내발생 누계,총 누계
2020-01-20,1,0,0,0,0,0,1,0,1,1,0,0,1
2020-01-21,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-22,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-23,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-24,1,0,0,0,0,0,1,0,1,2,0,0,2
2020-01-25,0,0,0,0,0,0,0,0,0,2,0,0,2
2020-01-26,1,0,0,0,0,0,0,1,1,3,0,0,3
2020-01-27,1,0,0,0,0,0,0,1,1,4,0,0,4
2020-01-28,0,0,0,0,0,0,0,0,0,4,0,0,4
2020-01-29,0,0,0,0,0,0,0,0,0,4,0,0,4
2020-01-30,1,0,0,0,0,0,0,1,1,5,1,1,6
2020-01-31,2,0,0,0,0,0,0,2,2,7,3,4,11
2020-02-01,0,1,0,0,0,0,0,1,1,8,0,4,12
2020-02-02,2,0,0,0,0,0,0,0,2,10,1,5,15
2020-02-03,0,0,0,0,0,0,0,0,0,10,0,5,15
2020-02-04,0,1,0,0,0,0,0,1,1,11,0,5,16
2020-02-05,0,2,0,0,0,0,0,2,2,13,1,6,19
2020-02-06,1,0,0,0,0,0,0,1,1,14,3,9,23
2020-02-07,1,0,0,0,0,0,0,1,1,15,0,9,24
2020-02-08,0,0,0,0,0,0,0,0,0,15,1,10,25
2020-02-09,2,0,0,0,0,0,0,2,2,17,0,10,27
2020-02-10,0,0,0,0,0,0,0,0,0,17,0,10,27
2020-02-11,0,0,0,0,0,0,0,0,0,17,1,11,28
2020-02-12,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-13,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-14,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-15,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-16,0,0,0,0,0,0,0,0,0,17,1,12,29
2020-02-17,0,0,0,0,0,0,0,0,0,17,1,13,30
2020-02-18,0,0,0,0,0,0,0,0,0,17,1,14,31
2020-02-19,0,0,0,0,0,0,0,0,0,17,15,29,46
2020-02-20,0,0,0,0,0,0,0,0,0,17,58,87,104
2020-02-21,0,0,0,1,0,0,0,0,1,18,99,186,204
2020-02-22,0,1,0,0,0,0,0,1,1,19,228,414,433
2020-02-23,0,2,0,0,0,0,0,2,2,21,168,582,603
2020-02-24,0,0,0,0,0,0,0,0,0,21,230,812,833
2020-02-25,1,1,0,0,0,0,0,2,2,23,142,954,977
2020-02-26,0,0,0,0,0,0,0,0,0,23,284,1238,1261
2020-02-27,0,1,0,0,0,0,0,1,1,24,504,1742,1766
2020-02-28,0,0,0,0,0,0,0,0,0,24,571,2313,2337
2020-02-29,0,1,1,0,0,0,0,2,2,26,811,3124,3150
2020-03-01,1,0,0,0,0,0,0,1,1,27,585,3709,3736
2020-03-02,0,0,1,0,0,0,0,1,1,28,475,4184,4212
2020-03-03,0,0,0,0,0,0,0,0,0,28,600,4784,4812
2020-03-04,0,0,1,0,0,0,0,1,1,29,515,5299,5328
2020-03-05,0,0,0,0,0,0,0,0,0,29,438,5737,5766
2020-03-06,0,0,0,0,0,0,0,0,0,29,518,6255,6284
2020-03-07,0,0,1,0,0,0,0,1,1,30,482,6737,6767
2020-03-08,0,0,1,0,0,0,0,1,1,31,366,7103,7134
2020-03-09,0,1,0,0,0,0,0,1,1,32,247,7350,7382
2020-03-10,0,0,2,0,0,0,0,2,2,34,129,7479,7513
2020-03-11,0,0,2,0,0,0,0,2,2,36,240,7719,7755
2020-03-12,0,1,3,0,0,0,0,4,4,40,110,7829,7869
2020-03-13,0,0,3,0,0,0,0,3,3,43,107,7936,7979
2020-03-14,0,1,1,0,0,0,0,2,2,45,105,8041,8086
2020-03-15,0,0,1,0,0,0,0,1,1,46,75,8116,8162
2020-03-16,0,0,3,0,0,0,4,3,7,53,67,8183,8236
2020-03-17,0,1,4,1,0,0,2,6,16,69,68,8251,8320
2020-03-18,0,3,11,0,0,0,5,14,19,88,74,8325,8413
2020-03-19,0,2,9,0,1,0,5,12,17,105,135,8460,8565
2020-03-20,0,3,1,8,0,0,1,12,13,118,74,8534,8652
2020-03-21,0,1,3,0,0,0,6,4,10,128,137,8671,8799
2020-03-22,0,2,8,5,0,0,8,7,22,150,76,8747,8897
2020-03-23,0,0,6,8,0,0,13,1,14,164,50,8797,8961
2020-03-24,0,0,18,4,0,0,20,2,22,186,54,8851,9037
2020-03-25,0,4,29,18,0,0,34,17,51,237,49,8900,9137
2020-03-26,0,3,25,11,0,0,30,9,39,276,65,8965,9241
2020-03-27,0,1,11,7,0,0,13,6,19,295,72,9037,9332
2020-03-28,0,4,25,12,0,0,24,17,41,336,105,9142,9478
2020-03-29,0,4,23,14,0,0,21,20,41,377,64,9206,9583
2020-03-30,0,1,12,16,0,0,13,16,29,406,49,9255,9661
2020-03-31,0,2,13,14,0,0,15,14,29,435,96,9351,9786
2020-04-01,0,4,14,17,1,0,7,29,36,471,65,9416,9887
2020-04-02,0,3,15,18,0,0,18,18,36,507,53,9469,9976
2020-04-03,0,3,20,15,0,0,22,16,38,545,48,9517,10062
2020-04-04,0,6,18,30,0,0,15,39,54,599,40,9557,10156
2020-04-05,0,8,16,16,0,0,24,16,40,639,41,9598,10237
2020-04-06,0,0,3,13,0,0,7,9,16,655,31,9629,10284
2020-04-07,0,1,3,13,0,0,14,3,17,672,30,9659,10331
2020-04-08,0,2,12,10,0,0,14,10,24,696,29,9688,10384
2020-04-09,0,0,5,18,0,0,10,13,23,719,16,9704,10423
2020-04-10,0,0,2,3,0,0,4,1,5,724,22,9726,10450
2020-04-11,0,1,3,8,0,0,6,6,12,736,18,9744,10480
2020-04-12,0,2,4,18,0,0,18,6,24,760,8,9752,10512
2020-04-13,0,1,3,12,0,0,6,10,16,776,9,9761,10537
2020-04-14,0,1,2,9,0,0,7,5,12,788,15,9776,10564
2020-04-15,0,2,5,4,0,0,4,7,11,799,16,9792,10591
2020-04-16,0,2,2,7,0,0,4,7,11,810,11,9803,10613
2020-04-17,0,3,1,10,0,0,11,3,14,824,8,9811,10635
2020-04-18,0,1,2,6,0,0,4,5,9,833,9,9820,10653
2020-04-19,0,0,2,3,0,0,2,3,5,838,3,9823,10661
2020-04-20,0,0,0,7,0,0,4,3,7,845,6,9829,10674
2020-04-21,0,1,1,3,0,0,3,2,5,850,4,9833,10683
2020-04-22,0,2,2,2,0,0,2,4,6,856,5,9838,10694
2020-04-23,1,1,0,2,0,0,2,2,4,860,4,9842,10702
2020-04-24,0,0,0,2,0,0,1,1,2,862,4,9846,10708
2020-04-25,0,0,1,3,0,0,4,0,4,866,6,9852,10718
2020-04-26,0,3,3,3,0,0,1,8,9,875,1,9853,10728
2020-04-27,0,2,2,3,0,0,5,2,7,882,3,9856,10738
2020-04-28,0,4,6,2,0,0,3,9,12,894,2,9858,10752
2020-04-29,1,1,2,1,0,0,3,2,5,899,4,9862,10761
2020-04-30,1,1,0,2,0,0,4,0,4,903,0,9862,10765
2020-05-01,0,4,1,3,0,0,4,4,8,911,1,9863,10774
2020-05-02,0,2,1,3,0,0,3,3,6,917,0,9863,10780
2020-05-03,0,4,2,4,0,0,5,5,10,927,3,9866,10793
2020-05-04,0,5,0,3,0,0,4,4,8,935,0,9866,10801
2020-05-05,0,1,1,1,0,0,2,1,3,938,0,9866,10804
합계,18,115,372,393,2,0,463,457,,,,,
